Present_Price,Kms_Driven,Owner,Car_age,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
3.98,46706,0,7,0,1,0,1
0.95,24000,0,10,0,1,1,1
7.13,12479,0,4,0,1,0,1
35.96,41000,0,7,1,0,0,0
0.99,14500,0,9,0,1,1,1
0.57,25000,1,9,0,1,1,1
7.6,17000,0,5,0,1,0,1
13.6,30753,0,5,0,1,0,0
0.55,1000,0,5,0,1,1,1
7.87,24524,0,5,0,1,0,0
0.84,29000,0,6,0,1,1,1
7.49,39000,0,7,1,0,0,1
7.6,77632,0,7,1,0,0,1
9.4,36000,0,6,0,1,0,1
7.7,16002,0,5,0,1,0,1
13.6,35934,0,5,1,0,0,1
0.81,11800,0,4,0,1,1,1
13.6,10980,0,5,0,1,0,1
13.6,49562,0,5,0,1,0,1
4.89,54200,0,10,0,1,0,1
0.826,23000,0,7,0,1,1,1
0.57,24000,0,5,0,1,1,0
19.77,15000,0,4,1,0,0,0
5.87,55138,0,8,0,1,0,1
0.95,16600,0,6,0,1,1,1
9.4,45000,0,8,1,0,0,1
10.38,45000,0,6,1,0,0,1
1.2,23500,0,7,0,1,1,1
0.95,3500,0,4,0,1,1,1
4.15,5200,0,10,0,1,0,1
0.52,15000,0,4,0,1,1,1
18.61,45000,0,8,0,1,0,1
13.6,24800,0,6,0,1,0,1
4.6,53460,0,10,0,1,0,1
1.47,46500,0,8,0,1,1,1
4.15,65000,0,15,0,1,0,1
25.39,29000,0,5,1,0,0,0
4.43,11849,0,5,0,1,0,1
7.13,34000,0,7,0,1,0,1
14.0,63000,0,7,1,0,0,1
7.5,44000,0,6,0,1,0,0
5.7,4492,0,6,0,1,0,1
35.96,78000,0,7,1,0,0,0
0.81,19000,0,9,0,1,1,1
20.45,50024,0,11,1,0,0,1
14.89,23000,0,5,1,0,0,1
2.28,127000,0,18,0,1,1,1
7.7,40588,0,6,0,1,0,1
1.47,26000,0,6,0,1,1,1
6.1,31427,0,6,0,1,0,1
13.46,38000,0,6,1,0,0,1
5.7,3493,1,5,0,1,0,1
10.21,90000,0,16,0,1,1,1
1.75,11500,0,9,0,1,1,1
1.05,213000,0,11,0,1,1,1
0.51,33000,0,11,0,1,1,1
0.73,12000,0,8,0,1,1,1
7.15,58000,0,13,0,1,0,1
6.95,45000,0,7,1,0,0,1
0.75,26000,1,13,0,1,1,1
4.6,35775,0,9,0,1,0,1
6.79,32000,0,8,0,1,0,0
7.71,25870,0,6,0,1,0,1
8.1,3435,0,4,0,1,0,1
13.74,56000,0,9,0,1,0,1
0.54,14000,0,5,0,1,1,1
15.04,70000,0,12,0,1,0,0
8.01,50000,0,10,0,1,0,0
0.787,50000,0,13,0,1,1,1
4.43,57000,0,10,0,1,0,1
1.82,1400,0,4,0,1,1,1
10.38,51000,0,6,1,0,0,1
0.32,35000,0,6,0,1,1,1
1.5,18000,0,5,0,1,1,1
4.99,20000,0,10,0,1,0,1
1.9,14000,0,6,0,1,1,1
7.85,40000,0,6,1,0,0,1
25.39,15000,0,4,1,0,0,0
0.787,75000,0,10,0,1,1,1
0.57,55000,0,16,0,1,1,1
8.93,83000,0,7,1,0,0,1
0.87,11000,0,4,0,1,1,1
1.4,35000,0,5,0,1,1,1
10.0,18828,0,6,0,1,0,1
10.0,69562,0,12,0,1,0,1
13.6,21780,0,6,0,1,0,1
3.95,44542,0,11,0,1,0,1
4.41,56879,0,8,0,1,0,1
0.94,45000,0,11,0,1,1,1
9.4,45078,0,7,0,1,0,1
1.47,17500,0,6,0,1,1,1
6.8,33019,0,7,0,1,0,1
0.84,5000,0,4,0,1,1,1
12.35,135154,0,17,0,1,0,0
4.6,22517,0,10,0,1,0,1
8.06,45000,0,7,1,0,0,1
18.61,62000,0,12,0,1,0,1
0.95,500,0,5,0,1,1,1
0.99,25000,0,7,0,1,1,1
0.51,32000,0,8,0,1,1,1
5.71,43000,0,10,0,1,0,1
6.79,31604,0,10,0,1,0,1
0.8,7000,0,5,0,1,1,1
18.54,50000,0,11,0,1,0,1
2.69,50000,0,9,0,1,0,1
13.7,75000,0,16,0,1,0,1
4.43,38488,0,4,0,1,0,1
7.9,28569,0,5,0,1,0,1
0.787,15000,0,7,0,1,1,1
1.2,32000,0,8,0,1,1,1
0.54,8600,0,4,0,1,1,1
5.9,5464,0,5,0,1,0,1
9.4,19434,0,5,1,0,0,1
3.95,25000,0,5,0,1,0,1
20.45,59000,0,11,1,0,0,1
1.47,11000,0,4,0,1,1,1
8.5,15059,0,5,0,1,0,0
9.94,15000,0,6,0,1,0,0
10.79,41678,0,6,1,0,0,1
7.74,49998,0,10,0,0,0,1
0.51,1300,0,4,0,1,1,0
6.76,40000,0,7,0,1,0,1
12.04,15000,0,7,0,1,0,0
13.6,25000,0,6,0,1,0,1
8.4,12000,0,5,0,1,0,1
0.99,13000,0,9,0,1,1,1
